no_cidade,nota,data_ref
"Engenheiro Coelho","6.76328502415459","2011-12-31"
"São José do Piauí","10","2011-12-31"
"Jataí","7.49442464411513","2011-12-31"
"Carolina","6.74620286521968","2011-12-31"
"Abre Campo","7.90340682813801","2011-12-31"
"Antonina do Norte","7.00499292048588","2011-12-31"
"Acaiaca","8.41389187253849","2011-12-31"
"Aimorés","10","2011-12-31"
"Aiuruoca","9.70661672908864","2011-12-31"
"Fortaleza dos Nogueiras","5.49365521510368","2011-12-31"
"Jacareí","6.62798428528256","2011-12-31"
"Alagoa","10","2011-12-31"
"Albertina","7.81459170013387","2011-12-31"
"Além Paraíba","6.1371748452867","2011-12-31"
"Alfenas","5.36342829141194","2011-12-31"
"Alpinópolis","10","2011-12-31"
"Alto Caparaó","7.91052918712493","2011-12-31"
"Alto Rio Doce","6.68086350160758","2011-12-31"
"Saltinho","1.08079609858969","2011-12-31"
"Alvinópolis","8.55062913803383","2011-12-31"
"Senador José Porfírio","3.42469249221661","2011-12-31"
"Selbach","6.46057347670251","2011-12-31"
"Altônia","7.46837984340494","2011-12-31"
"Cachoeira de Pajeú","9.28047523792205","2011-12-31"
"Andrelândia","8.81342001046103","2011-12-31"
"Araponga","9.44163071343713","2011-12-31"
"Cordeiro","4.85285975895405","2011-12-31"
"Araguacema","6.3555201980023","2011-12-31"
"Terezinha","8.64018087855297","2011-12-31"
"Argirita","8.28625235404896","2011-12-31"
"São José do Mantimento","8.30429732868757","2011-12-31"
"Aricanduva","9.43600867678959","2011-12-31"
"Arinos","10","2011-12-31"
"Osório","8.94814525406438","2011-12-31"
"Ataléia","8.67690058479532","2011-12-31"
"Manoel Viana","8.84955752212389","2011-12-31"
"Santa Maria do Oeste","9.4942813834918","2011-12-31"
"Baldim","10","2011-12-31"
"Novais","6.83856502242152","2011-12-31"
"Bambuí","5.91865739929521","2011-12-31"
"Bandeira do Sul","5.6174805378627","2011-12-31"
"Caraúbas do Piauí","10","2011-12-31"
"Barbacena","4.56895263708352","2011-12-31"
"Belmiro Braga","7.20881739648496","2011-12-31"
"Belo Horizonte","4.31398035743943","2011-12-31"
"Belo Oriente","7.21029342794804","2011-12-31"
"Irajuba","5.51986676183678","2011-12-31"
"Berilo","8.80571376909863","2011-12-31"
"Bias Fortes","8.77331231941161","2011-12-31"
"Bicas","8.4867476171824","2011-12-31"
"Biquinhas","10","2011-12-31"
"Boa Esperança","10","2011-12-31"
"Bocaina de Minas","3.78614916286149","2011-12-31"
"Botucatu","8.39516845568283","2011-12-31"
"Cubatão","7.00761836205216","2011-12-31"
"Bocaiúva","7.68634447311691","2011-12-31"
"Bom Despacho","8.28764213666854","2011-12-31"
"Bom Repouso","8.80003590019745","2011-12-31"
"Bonfinópolis de Minas","4.77391158177845","2011-12-31"
"Botelhos","7.35647238594193","2011-12-31"
"Botumirim","7.02437216198684","2011-12-31"
"Chapadão do Céu","3.11802405127097","2011-12-31"
"Brasilândia de Minas","5.95561594202898","2011-12-31"
"Braúnas","9.07797092609535","2011-12-31"
"Brazópolis","9.99966822600445","2011-12-31"
"Schroeder","7.81914737552446","2011-12-31"
"Brumadinho","8.29810427800378","2011-12-31"
"Cajazeiras","7.75629928832468","2011-12-31"
"Buenópolis","10","2011-12-31"
"Bugre","9.89255765199161","2011-12-31"
"Caseara","8.05289880741528","2011-12-31"
"São Ludgero","10","2011-12-31"
"Buritizeiro","8.66455756878535","2011-12-31"
"Cabeceira Grande","7.93650793650794","2011-12-31"
"Caeté","5.79284221525601","2011-12-31"
"Cambuquira","8.59144955085915","2011-12-31"
"Campestre","6.14706085038936","2011-12-31"
"Campina Verde","8.28090020030635","2011-12-31"
"Curral Novo do Piauí","3.64954380702412","2011-12-31"
"Campo Azul","6.06204495093384","2011-12-31"
"Cruzaltense","9.9546485260771","2011-12-31"
"Campos Gerais","6.42624776020737","2011-12-31"
"Candeias","8.31445828614572","2011-12-31"
"Corguinho","7.05499644200468","2011-12-31"
"Laranjal","8.04174340085942","2011-12-31"
"Mauá","2.6049570834167","2011-12-31"
"Capela Nova","7.47492283950617","2011-12-31"
"Capelinha","9.8710250274655","2011-12-31"
"Capitólio","9.99297790741641","2011-12-31"
"Ribeirão Vermelho","10","2011-12-31"
"Caratinga","7.4903367715207","2011-12-31"
"Carlos Chagas","10","2011-12-31"
"Lago da Pedra","4.61229946524064","2011-12-31"
"Carmo da Cachoeira","10","2011-12-31"
"Carmo do Paranaíba","9.49067674254293","2011-12-31"
"Carneirinho","9.21672555948174","2011-12-31"
"Cachoeira de Minas","8.05184603299293","2011-12-31"
"Carrancas","10","2011-12-31"
"Piedade de Caratinga","10","2011-12-31"
"Cataguases","5.54891658288915","2011-12-31"
"Catas Altas","9.60706899793194","2011-12-31"
"Catuji","10","2011-12-31"
"Catuti","10","2011-12-31"
"Central de Minas","8.39809134287662","2011-12-31"
"Centralina","8.7897321842276","2011-12-31"
"Chalé","3.92361111111111","2011-12-31"
"Chapada do Norte","10","2011-12-31"
"Chapada Gaúcha","6.69379570653456","2011-12-31"
"Cipotânea","9.43694227276317","2011-12-31"
"Claraval","10","2011-12-31"
"Itabaiana","4.18694590564213","2011-12-31"
"Claro dos Poções","10","2011-12-31"
"Itá","10","2011-12-31"
"Coimbra","8.37710437710438","2011-12-31"
"Aragominas","10","2011-12-31"
"Guarantã","6.04640785363677","2011-12-31"
"Alambari","8.32597822889085","2011-12-31"
"Comercinho","7.93845315904139","2011-12-31"
"Floresta","7.24959313507915","2011-12-31"
"Conceição de Ipanema","5.99033816425121","2011-12-31"
"Conceição do Mato Dentro","7.21106150793651","2011-12-31"
"Cônego Marinho","10","2011-12-31"
"Congonhal","8.85410037758262","2011-12-31"
"Congonhas","5.14797021596142","2011-12-31"
"Paraibano","4.59856451343682","2011-12-31"
"Capanema","10","2011-12-31"
"Atalaia do Norte","2.60336189539729","2011-12-31"
"Conselheiro Lafaiete","4.88529369855206","2011-12-31"
"Nova Olinda do Norte","4.3853761131248","2011-12-31"
"Itagibá","5.59443030817077","2011-12-31"
"Conselheiro Pena","7.65897175714527","2011-12-31"
"Consolação","10","2011-12-31"
"Coração de Jesus","7.92947929479295","2011-12-31"
"Corinto","8.96780077722262","2011-12-31"
"Caetanópolis","7.67174552258754","2011-12-31"
